"","Company name","Registered number","Primary UK SIC (2007) code","Latest accounts date","Operating revenue (Turnover) th GBP Last avail. yr","Number of employees Last avail. yr","Credit score","Ticker symbol","Primary UK SIC (2007) description","ISIN number","Operating Profit th GBP Last avail. yr","EBITDA th GBP Last avail. yr","Profit (Loss) before Tax th GBP Last avail. yr","Trade Creditors th GBP Last avail. yr","Short Term Loans & Overdrafts th GBP Last avail. yr","Bank Overdrafts th GBP Last avail. yr","Group Loans (short t.) th GBP Last avail. yr","Director Loans (short t.) th GBP Last avail. yr","Hire Purch. & Leas. (short t.) th GBP Last avail. yr","Hire Purchase (short t.) th GBP Last avail. yr","Leasing (short t.) th GBP Last avail. yr","Other Short Term Loans th GBP Last avail. yr","Total Other Current Liabilities th GBP Last avail. yr","Corporation Tax th GBP Last avail. yr","Dividends payable th GBP Last avail. yr","Accruals & Def. Inc. (short t.) th GBP Last avail. yr","Social Securities & V.A.T. th GBP Last avail. yr","Other Current Liabilities th GBP Last avail. yr","Current Liabilities th GBP Last avail. yr","Net Current Assets th GBP Last avail. yr","Net Tangible Assets th GBP Last avail. yr","Working Capital th GBP Last avail. yr","Total Assets th GBP Last avail. yr","Total Assets minus Current Liabilities th GBP Last avail. yr","Long Term Debt th GBP Last avail. yr","Group Loans (long t.) th GBP Last avail. yr","Director Loans (long t.) th GBP Last avail. yr","Hire Purchase & Lease (LT) th GBP Last avail. yr","Hire Purchase (long t.) th GBP Last avail. yr","Leasing (long t.) th GBP Last avail. yr","Preference Shares (part of Liabilities) th GBP Last avail. yr","Other Long Term Loans th GBP Last avail. yr","Total Other Long Term Liab. th GBP Last avail. yr","Accruals & Def. Inc. (long t.) th GBP Last avail. yr","Other Long Term Liab. th GBP Last avail. yr","Provisions for Other Liab. th GBP Last avail. yr","Deferred Tax th GBP Last avail. yr","Other Provisions th GBP Last avail. yr","Pension Liabilities th GBP Last avail. yr","Long Term Liabilities th GBP Last avail. yr","Net assets th GBP Last avail. yr","Issued Capital th GBP Last avail. yr","Ordinary Shares th GBP Last avail. yr","Preference Shares (part of Equity) th GBP Last avail. yr","Other Shares th GBP Last avail. yr","Total Reserves th GBP Last avail. yr","Share Premium Account th GBP Last avail. yr","Revaluation Reserves th GBP Last avail. yr","Profit (Loss) Account th GBP Last avail. yr","Other Reserves th GBP Last avail. yr","Balance sheet Minorities th GBP Last avail. yr","Shareholders Funds th GBP Last avail. yr","Cash In(Out)flow Operat. Activ. th GBP Last avail. yr","Cash In(Out)flow Ret. On Invest. th GBP Last avail. yr","Taxation th GBP Last avail. yr","Cash Out(In)flow Investing Activ. th GBP Last avail. yr","Capital Expenditure & Financ. Invest. th GBP Last avail. yr","Acquisition & Disposal th GBP Last avail. yr","Equity Dividends Paid th GBP Last avail. yr","Management of Liquid Resources th GBP Last avail. yr","Cash Out(In)flow from Financing th GBP Last avail. yr","Increase (Decrease) Cash & Equiv. th GBP Last avail. yr","EBITDA margin Last avail. yr","Profit margin Last avail. yr"
"654.","MIRRIAD ADVERTISING PLC","09550311","73110","31/12/2024","1003","80","29","MIRI","Advertising agencies","GB00BF52QY14","-8822","-8588","-8725","-712","","","","","","","","","-1176","-14","","-1047","-115","","-1888","4702","4752","321","6640","4752","","","","","","","","","","","","","","","","n.a.","4752","60","","","","4692","77719","","-78491","5464","n.a.","4752","-7841","","428","-20","","","","","6107","-1326","n.s.","n.s."
"655.","MITCHELLS & BUTLERS PLC","04551498","70100","27/09/2025","2711000","50558","95","MAB","Activities of head offices","GB00B1FP6H53","322000","466000","238000","-111000","-174000","","","","","","","-174000","-409000","","","-222000","-81000","-106000","-694000","-370000","4380000","-70000","5393000","4699000","-900000","","","","","","","-900000","-403000","","-403000","-559000","-546000","-13000","-21000","-1883000","2816000","51000","","","","2765000","358000","1209000","1201000","-3000","n.a.","2816000","397000","-5000","-24000","-179000","","","","","-173000","16000","17.189229067","8.779048322"
"656.","MITIE GROUP PLC","SC019230","70100","31/03/2025","5082600","72982","95","MTO","Activities of head offices","GB0004657408","161600","267600","145400","-205000","","","","","","","","","-1041500","-3400","","-698100","-202100","-137900","-1246500","-78500","16300","348900","2119700","873200","-180000","","","","","","","-180000","-198200","-33100","-165100","-64600","-17900","-46700","-2400","-445200","428000","31300","","","","379100","132000","","112300","134800","17600","428000","248700","-24800","-11000","-80900","","","-54500","","-141700","-64200","5.265021839","2.860740566"
"657.","MJ GLEESON PLC","09268016","64203","30/06/2025","365817","724","92","GLE","Activities of construction holding companies","GB00BRKD9Z53","24039","28311","20544","-24642","-9197","-2269","","","-1928","","-1928","-5000","-58772","","","-38022","-2567","-18183","-92611","314963","326762","367592","419373","326762","-3462","","","-3462","","-3462","","","-7825","","-7825","-7809","-73","-7736","","-19096","307666","1169","","","","306497","15843","","290886","-232","n.a.","307666","4479","-3226","-5061","-1860","","","-6424","","3379","-8713","7.739115459","5.615922715"
"658.","MOBICO GROUP PLC","02590560","49319","31/12/2024","3412400","49785","77","MCG","Urban, suburban or metropolitan area passenger land transport other than railway transportation by underground, metro and similar systems","GB0006215205","-519900","294900","-609300","-454100","-149800","","-500","","","","","-149300","-804000","-9500","","-261600","-53500","-479400","-1407900","-565500","680000","9400","3238500","1830600","-1117100","","","","","","","-1117100","-262000","","-262000","-219000","-46800","-172200","-11600","-1609700","220900","30700","","","","154100","533600","","-1284900","905400","36100","220900","262900","-11800","-15000","-190000","","","","","-134100","-88000","8.642011488","-17.855468292"
"659.","MOBILITYONE LTD","JE96293","26200","31/12/2022","233761.671","110","n.a.","MBO","Manufacture of computers and peripheral equipment","JE00B1Z48326","416.121","1076.558","278.978","-2137.311","-3714.337","","","-66.855","","","","-3647.482","-925.842","-10.781","","-601.267","-10.84","-302.954","-6777.49","3790.689","5153.214","2582.034","12327.819","5550.329","-221.697","","","","","","","-221.697","-98.45","","-98.45","-15.484","-15.484","","","-335.631","5214.698","2657.47","","","","2572.339","909.472","","-93.766","1756.633","-15.111","5214.698","-715.973","","-416.459","-393.872","","","","","1442.178","-84.126","0.460536578","0.119342918"
"660.","MOBIUS INVESTMENT TRUST PLC","11504912","64301","30/11/2024","3496","","86","MMIT","Activities of investment trusts","GB00BFZ7R980","2428","2428","2428","","-163","","-163","","","","","","-99","","","","","-99","-262","9135","175762","","176024","175762","","","","","","","","","","","","-2178","-2178","","","-2178","173584","1167","1154","13","","172417","21158","","2951","148308","n.a.","173584","","","","","","","","","","","","69.450800915"
"661.","MOH NIPPON PLC","13349097","70229","31/03/2025","20718.281","35","55","MOH","Management consultancy activities (other than financial management)","GB00BMYX7295","424.2","754.918","-6970.015","-2362.083","-271.356","","-44.505","","-226.851","","-226.851","","-489.376","","","-254.783","-212.904","-21.689","-3122.818","23858.303","27964.806","-1227.746","32646.447","29523.629","-157.855","","","-157.855","","-157.855","","","","","","","","","","-157.855","29365.774","2738.125","","","","25879.599","1195.601","","17592.879","7091.119","748.048","30113.821","-25356.916","-12.48","-9608.149","1263.249","","","","","-225.503","-33939.799","3.643728937","-33.641859573"
"662.","MOLTEN VENTURES PLC","09799594","64303","31/03/2025","","62","68","GROW","Activities of venture and development capital companies","GB00BY7QYJ50","10000","10300","200","-900","","","","","","","","","-12500","","","-8500","-300","-3700","-13400","77500","1357500","-300","1383000","1369600","-119700","","","","","","","-119700","-1300","","-1300","-12800","-12700","-100","","-133800","1235800","1900","","","","1233900","671200","","510900","51800","n.a.","1235800","31200","-8600","","-400","","","","","9600","31800","",""
"663.","MOLTEN VENTURES VCT PLC","03424984","64301","31/03/2025","1665","","93","MVCT","Activities of investment trusts","GB0002867140","399","399","399","","","","","","","","","","-168","","","","-4","-164","-168","32162","118232","","118400","118232","","","","","","","","","","","","","","","","n.a.","118232","13758","13758","","","104474","39553","","-1870","66791","n.a.","118232","-1478","","","-202","","","","","8766","7086","","23.963963964"
