"","Company name","Registered number","Primary UK SIC (2007) code","Latest accounts date","Operating revenue (Turnover) th GBP Last avail. yr","Number of employees Last avail. yr","Credit score","Ticker symbol","Primary UK SIC (2007) description","ISIN number","Operating Profit th GBP Last avail. yr","EBITDA th GBP Last avail. yr","Profit (Loss) before Tax th GBP Last avail. yr","Trade Creditors th GBP Last avail. yr","Short Term Loans & Overdrafts th GBP Last avail. yr","Bank Overdrafts th GBP Last avail. yr","Group Loans (short t.) th GBP Last avail. yr","Director Loans (short t.) th GBP Last avail. yr","Hire Purch. & Leas. (short t.) th GBP Last avail. yr","Hire Purchase (short t.) th GBP Last avail. yr","Leasing (short t.) th GBP Last avail. yr","Other Short Term Loans th GBP Last avail. yr","Total Other Current Liabilities th GBP Last avail. yr","Corporation Tax th GBP Last avail. yr","Dividends payable th GBP Last avail. yr","Accruals & Def. Inc. (short t.) th GBP Last avail. yr","Social Securities & V.A.T. th GBP Last avail. yr","Other Current Liabilities th GBP Last avail. yr","Current Liabilities th GBP Last avail. yr","Net Current Assets th GBP Last avail. yr","Net Tangible Assets th GBP Last avail. yr","Working Capital th GBP Last avail. yr","Total Assets th GBP Last avail. yr","Total Assets minus Current Liabilities th GBP Last avail. yr","Long Term Debt th GBP Last avail. yr","Group Loans (long t.) th GBP Last avail. yr","Director Loans (long t.) th GBP Last avail. yr","Hire Purchase & Lease (LT) th GBP Last avail. yr","Hire Purchase (long t.) th GBP Last avail. yr","Leasing (long t.) th GBP Last avail. yr","Preference Shares (part of Liabilities) th GBP Last avail. yr","Other Long Term Loans th GBP Last avail. yr","Total Other Long Term Liab. th GBP Last avail. yr","Accruals & Def. Inc. (long t.) th GBP Last avail. yr","Other Long Term Liab. th GBP Last avail. yr","Provisions for Other Liab. th GBP Last avail. yr","Deferred Tax th GBP Last avail. yr","Other Provisions th GBP Last avail. yr","Pension Liabilities th GBP Last avail. yr","Long Term Liabilities th GBP Last avail. yr","Net assets th GBP Last avail. yr","Issued Capital th GBP Last avail. yr","Ordinary Shares th GBP Last avail. yr","Preference Shares (part of Equity) th GBP Last avail. yr","Other Shares th GBP Last avail. yr","Total Reserves th GBP Last avail. yr","Share Premium Account th GBP Last avail. yr","Revaluation Reserves th GBP Last avail. yr","Profit (Loss) Account th GBP Last avail. yr","Other Reserves th GBP Last avail. yr","Balance sheet Minorities th GBP Last avail. yr","Shareholders Funds th GBP Last avail. yr","Cash In(Out)flow Operat. Activ. th GBP Last avail. yr","Cash In(Out)flow Ret. On Invest. th GBP Last avail. yr","Taxation th GBP Last avail. yr","Cash Out(In)flow Investing Activ. th GBP Last avail. yr","Capital Expenditure & Financ. Invest. th GBP Last avail. yr","Acquisition & Disposal th GBP Last avail. yr","Equity Dividends Paid th GBP Last avail. yr","Management of Liquid Resources th GBP Last avail. yr","Cash Out(In)flow from Financing th GBP Last avail. yr","Increase (Decrease) Cash & Equiv. th GBP Last avail. yr","EBITDA margin Last avail. yr","Profit margin Last avail. yr"
"283.","DIPLOMA PLC","03899848","70100","30/09/2025","1524500","3375","92","DPLM","Activities of head offices","GB0001826634","283700","374500","248300","-120500","-900","","","","","","","-900","-176900","-27700","","-82300","-13700","-53200","-298300","309800","389400","388000","1809400","1511100","-380200","","","","","","","-380200","-91800","","-91800","-44900","-44900","","","-516900","994200","6800","","","","982900","420200","","588000","-25300","4500","994200","370500","-26300","-76600","-31300","","","-80900","","-132000","23400","24.565431289","16.287307314"
"284.","DIRECTA PLUS PLC","04679109","74909","31/12/2024","5506.421","180","34","DCTA","Other professional, scientific and technical activities (not including environmental consultancy or quantity surveying) n.e.c.","GB00BSM98843","-4477.551","-3439.488","-4442.521","-1081.89","-704.516","-704.516","","","","","","","-759.32","","","","","-759.32","-2545.726","3739.597","5633.956","500.172","9704.197","7158.471","-705.27","","","","","","","-705.27","-370.501","","-370.501","-171.64","","-171.64","","-1247.411","5911.06","263.385","","","","5586.89","38496.339","","-32843.022","-66.426","60.784","5911.06","-1903.762","-81.097","","-1527.919","","","","","5554.329","2041.551","-62.463222482","-80.678920119"
"285.","DISCOVERIE GROUP PLC","02008246","70100","31/03/2025","422900","4395","99","DSCV","Activities of head offices","GB0000055888","42400","70800","32000","-42300","-95000","-95000","","","","","","","-58200","-8200","","","","-50000","-195500","102600","135700","104100","695000","499500","-138600","","","","","","","-138600","-27400","","-27400","-25000","-21000","-4000","-500","-191500","308000","4800","","","","303200","192000","","114100","-2900","n.a.","308000","52700","400","-3200","-22800","","","-11700","","-2200","13200","16.741546465","7.566800662"
"286.","DISTIL PLC","03727483","70100","31/03/2025","1043","619","86","DIS","Activities of head offices","GB0030164023","-1232","-1183","-1101","-220","-150","","","","","","","-150","-371","","","-90","-29","-252","-741","1048","4253","1093","6725","5984","","","","","","","","","-305","","-305","","","","","-305","5679","2237","","","","3442","6739","","-3515","218","n.a.","5679","-886","-131","","-76","","","","","905","-188","n.s.","n.s."
"287.","DISTRIBUTION FINANCE CAPITAL HOLDINGS PLC","11911574","70100","31/12/2024","46849","136","92","DFCH","Activities of head offices","GB00BJ7HMR72","19177","20103","19074","-524","","","","","","","","","-523312","-1259","","-4427","-62","-517564","-523836","256184","261552","2576","786540","262704","","","","","","","","","-147065","","-147065","-285","","-285","","-147350","115354","1793","","","","113561","","","39699","73862","n.a.","115354","9882","100","-681","14062","","","","","-1667","21696","42.910200858","40.713782578"
"288.","DIVERSIFIED ENERGY COMPANY LIMITED","09156132","64209","31/12/2024","634806","1571","89","","Activities of other holding companies (not including agricultural, production, construction, distribution and financial services holding companies) n.e.c.","GB00BQHP5P93","-34363","170622","-178861","-25474","-167289","","","","","","","-167289","-414185","-26753","","-96264","","-291168","-606948","-363945","2578376","-17814","3197448","2590500","-1185032","","","","","","","-1185032","-515196","","-515196","-6398","-6398","","-512852","-2219478","371022","10991","","","","350543","1008475","","-578995","-78936","9487","371021","284635","109930","-118499","-217967","","","-66979","","10665","1787","26.87781779","-28.175694622"
"289.","DOMINO'S PIZZA GROUP PLC","03853545","56101","29/12/2024","664500","1832","92","DOM","Licensed restaurants","GB00BYN59130","142600","164300","124900","-23100","","","","","","","","","-122000","-1400","","-56000","-6000","-58600","-145100","-2700","338900","1600","602900","457800","-317700","","","","","","","-317700","-207900","","-207900","-14400","-11700","-2700","","-540000","-82200","2100","","","","-84300","71900","","-140800","-15400","n.a.","-82200","138600","-15700","-35100","-1000","","","-42000","","-44500","300","24.725357412","18.796087284"
"290.","DOTDIGITAL GROUP PLC","06289659","82990","30/06/2025","83921","457","99","DOTD","Other business support service activities n.e.c.","GB00B3W40C23","13570","25046","15089","-3242","","","","","","","","","-17998","","","","-2237","-15761","-21240","33354","33934","8854","140692","119452","","","","","","","","","-8035","","-8035","-8307","-8307","","","-16342","103110","1538","","","","101572","12786","","90669","-1883","n.a.","103110","30262","","-6269","-25106","","","-3375","","-779","-5267","29.844734929","17.980005005"
"291.","DOWLAIS GROUP PLC","14591224","64209","31/12/2024","4337000","24081","89","DWL","Activities of other holding companies (not including agricultural, production, construction, distribution and financial services holding companies) n.e.c.","GB00BMWRZ071","-106000","825000","-215000","-577000","-13000","","","","","","","-13000","-652000","-65000","","-1000","-47000","-539000","-1242000","62000","2222000","238000","5707000","4465000","-1291000","","","","","","","-1291000","-135000","","-135000","-316000","-199000","-117000","-418000","-2160000","2305000","14000","","","","2252000","","","2392000","-140000","39000","2305000","270000","-18000","-56000","-197000","","","-58000","","77000","18000","19.022365691","-4.957343786"
"292.","DP POLAND PLC","07278725","56101","31/12/2024","53643.542","217","97","DPP","Licensed restaurants","GB00B3Q74M51","-150.57","4508.385","-551.13","-3933.542","","","","","","","","","-6434.264","","","-2609.123","","-3825.141","-10367.806","5689.53","15162.395","-1166.625","47409.303","37041.497","","","","","","","","","-5124.169","","-5124.169","-530.852","-530.852","","","-5655.021","31386.476","4598.277","","","","26788.199","66074.45","","-28592.362","-10693.889","n.a.","31386.476","4962.292","301.153","","-5025.631","","","","","9201.274","9439.088","8.404338774","-1.027393008"
"293.","DR. MARTENS PLC","12960219","64209","30/03/2025","787600","2348","93","DOCS","Activities of other holding companies (not including agricultural, production, construction, distribution and financial services holding companies) n.e.c.","GB00BL6NGV24","37000","113800","8800","-27500","-2400","-2400","","","","","","","-128700","-1300","","-63700","-10600","-53100","-158600","252300","314000","209600","889800","731200","-246300","","","","","","","-246300","-109500","","-109500","-9000","-2500","-6500","","-364800","366400","9600","","","","356800","","","1749100","-1392300","n.a.","366400","208000","-27600","-12200","-18700","","","-9500","","-93200","46800","14.448958862","1.117318436"
"294.","DRAX GROUP PLC","05562053","70100","31/12/2024","6162500","3457","92","DRX","Activities of head offices","GB00B1VNSX38","850200","1082900","753400","-164100","-119000","","","","","","","-119000","-1251900","-9600","","-860600","","-381700","-1535000","308900","3269500","243300","5388600","3853600","-1057700","","","","","","","-1057700","-352700","","-352700","-356100","-280400","-75700","","-1766500","2087100","49400","","","","2027900","443800","","1118100","466000","9800","2087100","819800","-3600","34300","-389900","","","-93500","","-389100","-22000","17.572413793","12.225557809"
"295.","DSW CAPITAL PLC","07200401","69201","31/03/2025","4855","19","89","DSW","Accounting, and auditing activities","GB00BNG9H550","1304","1658","1301","-499","","","","","","","","","-1398","-202","","-553","-410","-233","-1897","3792","6449","855","15475","13578","-2771","","","","","","","-2771","-58","","-58","-734","-649","-85","","-3563","10015","63","","","","9952","5268","","2371","2313","n.a.","10015","2070","-3","-599","-3577","","","-407","","2567","51","34.150360453","26.797116375"
"296.","DUNEDIN INCOME GROWTH INVESTMENT TRUST PLC","SC000881","64301","31/01/2025","22550","","89","DIG","Activities of investment trusts","GB0003406096","20961","20961","20134","","-19127","-18907","","","","","","-220","-866","","","","","-866","-19993","-14372","458280","","478273","458280","-29752","","","","","","","-29752","","","","","","","","-29752","428528","38419","38419","","","390109","4908","","23820","361381","n.a.","428528","18825","-2007","","17840","","","-19710","","-25405","-10457","","89.286031042"
"297.","DUNELM GROUP PLC","04708277","70100","28/06/2025","1771000","7703","95","DNLM","Activities of head offices","GB00B1CKQ739","222000","306000","211000","-93700","","","","","","","","","-192700","","","-95400","-30800","-66500","-286400","11800","223200","142200","741500","455100","-130200","","","","","","","-130200","-198400","","-198400","-7700","","-7700","","-336300","118800","2000","","","","116800","1700","","84900","30200","n.a.","118800","299400","400","-54500","-67300","","","-159400","","-11600","7000","17.2783738","11.914172784"
"298.","EAGLE EYE SOLUTIONS GROUP PLC","08892109","70100","30/06/2025","48196","250","93","EYE","Activities of head offices","GB00BKF1YD83","2973","8943","2987","-2960","-51","","","","","","","-51","-11949","-176","","-9803","","-1970","-14960","7507","15781","4195","52019","37059","","","","","","","","","-3602","-3299","-303","-789","-789","","","-4391","32668","297","","","","32371","30135","","-10231","12467","n.a.","32668","13129","-45","387","-10363","","","","","-601","2507","18.555481783","6.19760976"
"299.","EARNZ PLC","10114644","74909","31/12/2024","2637","28","81","EARN","Other professional, scientific and technical activities (not including environmental consultancy or quantity surveying) n.e.c.","GB00BRC2TB67","-2806","-2692","-2879","-1224","-1110","","","","","","","-1110","-1059","-64","","-288","","-707","-3393","305","745","-124","8938","5545","-261","","","","","","","-261","-1308","","-1308","","","","","-1569","3976","4088","","","","-112","15621","","-15772","39","n.a.","3976","-3083","-133","","-814","","","","","5942","1912","n.s.","n.s."
"300.","EAST STAR RESOURCES PLC","13025608","08990","31/12/2024","","13","29","EST","Other mining and quarrying n.e.c.","GB00BN92HZ16","-1102","-1092","-1102","-71","","","","","","","","","-45","","","-44","","-1","-116","672","3155","-71","3271","3155","","","","","","","","","","","","","","","","n.a.","3155","3975","","","","-820","9178","","-5821","-4177","n.a.","3155","-543","","","-611","","","","","1144","-10","",""
"301.","EASYJET PLC","03959649","70100","30/09/2025","10106000","18968","92","EZJ","Activities of head offices","GB00B7KR2P84","696000","1439000","658000","-2311000","-6000","","","","","","","-6000","-1835000","-11000","","-1090000","-50000","-684000","-4152000","473000","5569000","-2181000","11507000","7355000","-1875000","","","","","","","-1875000","-875000","","-875000","-1087000","-258000","-829000","-20000","-3857000","3498000","207000","","","","3291000","2166000","","1077000","48000","n.a.","3498000","1730000","-93000","-12000","-872000","","","","","-614000","139000","14.239065901","6.510983574"
"302.","EBIQUITY PLC","03967525","70100","31/12/2024","76764","667","86","EBQ","Activities of head offices","GB0004126057","-921","9928","-2304","-10893","","","","","","","","","-12787","-1682","","-4027","-2236","-4842","-23680","16040","18926","16276","86801","63121","-23888","","","","","","","-23888","-2580","","-2580","-859","-615","-244","","-27327","35794","35143","","","","277","15552","","-17734","2459","374","35794","3476","157","-1905","-1997","","","","","-291","-560","12.933145745","-3.001406909"
"303.","ECO ANIMAL HEALTH GROUP PLC","01818170","75000","31/03/2025","79596","224","97","EAH","Veterinary activities","GB0032036807","4301","7132","4009","-10500","","","","","","","","","-11312","-801","","-3541","-305","-6665","-21812","48130","53558","29488","120603","98791","","","","","","","","","-3164","","-3164","-862","-862","","","-4026","94765","3388","","","","82111","63319","271","17872","649","9266","94765","11772","","-1466","-4716","","","-1065","","-637","3888","8.960249259","5.036685261"
"304.","ECO BUILDINGS GROUP PLC","07811256","64209","31/12/2024","1150.552","31","29","ECOB","Activities of other holding companies (not including agricultural, production, construction, distribution and financial services holding companies) n.e.c.","GB00BRJTP124","-2816.086","-1614.766","-3233.122","-677.365","-2451.897","","-820.074","","","","","-1631.823","-682.202","","","-403.87","","-278.332","-3811.463","-2178.938","2702.965","406.737","14494.492","10683.029","-3037.365","","","","","","","-3037.365","-285.587","","-285.587","-69.855","-69.855","","","-3392.807","7290.222","4884.125","","","","2406.096","8432.247","","-5609.974","-416.177","n.a.","7290.221","-1113.644","328.667","","-1155.374","","","","","1468.212","-472.139","n.s.","n.s."
"305.","ECOFIN GLOBAL UTILITIES AND INFRASTRUCTURE TRUST PLC","10253041","64301","30/09/2025","12040","","86","EGL","Activities of investment trusts","GB00BD3V4641","10216","10216","9711","","-25538","","","","","","","-25538","-1187","","","","","-1187","-26725","-24212","256576","","283301","256576","","","","","","","","","","","","","","","","n.a.","256576","1149","1149","","","255427","50548","","","204879","n.a.","256576","5864","","","23155","","","-9035","","-19463","521","","80.656146179"
"306.","ECOFIN U.S. RENEWABLES INFRASTRUCTURE TRUST PLC","12809472","64301","31/12/2024","2592.444","","28","RNEW","Activities of investment trusts","GB00BLPK4430","981.55","981.55","981.55","","","","","","","","","","-577.429","","","-577.429","","","-577.429","129.383","49321.94","","49899.369","49321.94","","","","","","","","","","","","","","","","n.a.","49321.94","1102.946","","","","48218.991","10168.517","","","38050.475","n.a.","49321.938","888.108","","","","","","-1543.008","","","-654.899","","37.861955745"
"307.","ECORA ROYALTIES PLC","00897608","08990","31/12/2024","47606","13","95","ECOR","Other mining and quarrying n.e.c.","GB0006449366","11605","30479","4738","-609","","","","","","","","","-5880","-3328","","","-113","-2439","-6488","12715","85595","-609","442434","435946","-72061","","","","","","","-72061","-2460","","-2460","-14298","-14298","","","-88818","347128","5214","","","","341914","135143","-131","139470","67433","n.a.","347127","35626","-1160","-18856","-5206","","","-8654","","-1242","506","64.023442423","9.952526992"
"308.","ECR MINERALS PLC","05079979","08990","30/09/2024","","7","68","ECR","Other mining and quarrying n.e.c.","GB00BYYDKX57","-1189.471","-1127.327","-1183.181","-28.145","","","","","","","","","-67.19","","","","-5.946","-61.244","-95.335","278.016","432.106","-28.145","5335.881","5240.546","","","","","","","","","","","","","","","","n.a.","5240.546","11299.263","","","","-6058.717","55695.387","","-62821.791","1067.687","n.a.","5240.546","-714.527","5.458","","-143.349","","","","","1146.837","294.419","",""
"309.","EDEN RESEARCH PLC","03071324","72110","31/12/2024","4302.603","23","93","EDEN","Research and experimental development on biotechnology","GB0001646941","-2186.279","-1589.479","-2180.147","-2559.056","","","","","","","","","-949.485","","","-634.614","-108.49","-206.381","-3508.541","4388.956","4872.027","112.319","15405.82","11897.279","","","","","","","","","-59.693","","-59.693","","","","","-59.693","11837.586","5333.529","","","","6483.79","6413.652","","-720.016","790.154","20.267","11837.586","-736.798","95.988","-267.008","-2588.709","","","","","-145.796","-3642.323","-36.94226495","-50.670419744"
"310.","EDINBURGH WORLDWIDE INVESTMENT TRUST PLC","SC184775","64301","31/10/2024","1301","7","89","EWI","Activities of investment trusts","GB00BHSRZC82","-1048","-1048","-2619","","-91744","-91744","","","","","","","-2640","","","","","-2640","-94384","-70429","634603","","728987","634603","","","","","","","","","","","","","","","","n.a.","634603","4058","","","","630545","499723","","-11281","142103","n.a.","634603","-10747","-253","-46","","43985","","","","-29772","3167","","n.s."
"311.","EENERGY GROUP PLC","05357433","74909","31/12/2024","25057","73","28","EAAS","Other professional, scientific and technical activities (not including environmental consultancy or quantity surveying) n.e.c.","GB00BJP1KD31","-7442","-7030","-9502","-3519","","","","","","","","","-7366","","","-3512","","-3854","-10885","-965","14650","-3099","29538","18653","","","","","","","","","-12837","","-12837","-509","-115","-394","","-13346","5307","16494","","","","-11187","49319","","-27481","-33025","n.a.","5307","-16697","","","22843","","","","","-4461","1685","-28.056032246","-37.921538891"
"312.","EKF DIAGNOSTICS HOLDINGS PLC","04347937","70100","31/12/2024","50194","304","99","EKF","Activities of head offices","GB0031509804","6260","10984","6263","-900","","","","","","","","","-5537","-618","","-4102","-151","-666","-6437","22115","45131","12338","81745","75308","","","","","","","","","-898","","-898","-1198","-1198","","","-2096","73212","4537","","","","67790","7375","","54999","5416","885","73212","12173","-256","1403","-2662","","","","","-3741","6917","21.883093597","12.477586963"
"313.","ELECO PUBLIC LIMITED COMPANY","00354915","70100","31/12/2024","32394","285","99","ELCO","Activities of head offices","GB0003081246","4056","7239","4294","-788","","","","","","","","","-17388","-65","","-15264","-1117","-942","-18176","1983","3161","3601","51812","33636","","","","","","","","","-882","","-882","-2582","-2556","-26","","-3464","30172","833","","","","29339","2468","","26041","830","n.a.","30172","9954","","-756","-4564","","","-665","","-600","3369","22.346730876","13.25554115"
"314.","ELEMENTIS PLC","03299608","70100","31/12/2024","589649","1486","86","ELM","Activities of head offices","GB0002418548","-21244","120598","-39613","-41770","","","","","","","","","-63574","-7827","","-38895","","-16852","-105343","172350","448686","142400","1044964","939621","-175066","","","","","","","-175066","-41131","","-41131","-111972","-78348","-33624","-6868","-335037","604584","42089","","","","562495","191438","","329926","41131","n.a.","604584","98475","2636","-21005","-30189","","","-15015","","-32745","2156","20.452506491","-6.718064476"
"315.","ELIXIRR INTERNATIONAL PLC","11723404","64209","31/12/2024","111344","565","92","ELIX","Activities of other holding companies (not including agricultural, production, construction, distribution and financial services holding companies) n.e.c.","GB00BLPHTX84","23693","27566","22889","-8662","","","","","","","","","-24107","","","-14536","-1590","-7981","-32769","-6390","8209","7765","175892","143123","","","","","","","","","-7378","","-7378","-3632","-3632","","","-11010","132113","52","","","","132061","33702","","52927","45432","n.a.","132113","34652","250","-7007","-21504","","","-6907","","-9780","-10296","24.757508263","20.557012502"
"316.","EMPIRIC STUDENT PROPERTY PLC","08886906","68209","31/12/2024","84200","374","95","ESP","Letting and operating of own or leased real estate (other than Housing Association real estate and conference and exhibition services) n.e.c.","GB00BLWDVR75","54400","54800","34400","-800","","","","","","","","","-53400","","","-49100","","-4300","-54200","40300","1166000","2100","1226700","1172500","-370400","","","","","","","-370400","-800","","-800","","","","","-371200","801300","6600","","","","794700","54100","","338500","402100","n.a.","801300","24300","1000","","-32300","","","-22500","","64400","34900","65.083135392","40.855106888"
"317.","EMPRESARIA GROUP PLC","03743194","70100","31/12/2024","246200","3070","89","EMR","Activities of head offices","GB00B0358N07","-3600","5500","-5200","-2000","-18500","-14300","","","","","","-4200","-31800","-1000","","-15800","-4800","-10200","-52300","5000","10600","27700","101100","48800","-14000","","","","","","","-14000","-1200","","-1200","-2200","-2200","","","-17400","31400","2500","","","","21900","22400","","8400","-8900","7000","31400","600","-1600","1600","","","","-500","","400","500","2.233956133","-2.112103981"
"318.","EMV CAPITAL PLC","08026888","82990","31/12/2024","2450","24","30","NSCI","Other business support service activities n.e.c.","GB00B9F4MT28","-3386","-2343","-3735","-1307","-510","","","","","","","-510","-2662","","","-1676","","-986","-4479","-2405","12866","-809","19504","15025","-898","","","","","","","-898","-49","","-49","","","","","-947","14078","1368","","","","13730","76013","","-67956","5673","-1020","14078","-2019","175","60","12","","","","","2573","801","-95.632653061","n.s."
"319.","ENDEAVOUR MINING PLC","13280545","07290","31/12/2024","2137130","5659","92","EDV","Mining of other non-ferrous metal ores","GB00BL6K5J42","293747","971489","90967","-263557","-51353","-10462","","","","","","-40891","-341346","-170593","","","","-170753","-656257","114288","1590049","27554","4403322","3747065","-846578","","","","","","","-846578","-47600","","-47600","-462583","-367143","-95440","","-1356761","2390304","1997","","","","2158773","40492","","1640524","477757","229534","2390304","989777","-98634","-236403","-503155","","","-159732","","-92325","-100471","45.45764647","4.25650288"
"320.","ENERAQUA TECHNOLOGIES PLC","13575021","70100","31/01/2024","53818","186","86","ETP","Activities of head offices","GB00BNYDGM91","-7232","-5208","-7899","-5818","-1913","","","","","","","-1913","-16425","","","-13519","-2239","-667","-24156","9277","12988","3515","47418","23262","-3288","","","","","","","-3288","-1009","","-1009","","","","","-4297","18965","332","","","","18633","10113","","13226","-4706","n.a.","18965","9251","","-2859","-1771","","","-391","","-1090","3140","-9.67705972","-14.677245531"
"321.","ENERGEAN PLC","10758801","62020","31/12/2024","1050023","369","89","ENOG","Computer consultancy activities","GB00BG12Y042","315004","783294","134387","-141743","-102228","","","","","","","-102228","-1097289","-64718","","-41099","-5168","-986304","-1341260","412810","3231300","-29028","4731750","3390490","-2509308","","","","","","","-2509308","-71306","","-71306","-299847","-112933","-186914","-414","-2880875","509615","1956","","","","507659","371640","","4921","131098","n.a.","509615","695917","26055","-4579","-654624","","","-175557","","21989","-90799","74.597794525","12.798481557"
"322.","ENGAGE XR HOLDINGS PUBLIC LIMITED COMPANY","IE613330","72190","31/12/2024","2813.28330656299","58","29","6VR","Other research and experimental development on natural sciences and engineering","IE00BG0HDR01","-3464.93467793176","-3389.24746269413","-3291.30324747903","-88.9832821959341","","","","","","","","","-485.023231789631","","","-368.061566543537","-88.3588904117684","-28.602774834325","-574.006513985565","3859.34988391732","3877.46635482209","350.823715908004","4480.07564364198","3906.06912965641","","","","","","","","","","","","","","","","n.a.","3906.06912965641","434.611462223494","","","","3471.45766743292","36362.1776591561","","-22846.7984693488","-10043.9215223744","n.a.","3906.06912965641","-3533.80658231569","","","-19.9465847549041","","","","","-43.6643633892383","-3597.41753045984","n.s.","n.s."
"323.","ENQUEST PLC","07140891","06100","31/12/2024","942982.989","673","92","ENQ","Extraction of crude petroleum","GB00B635TG28","248804.409","253628.304","133067.646","-110871.335","-109095.12","","-36887.629","","-37532.146","","-37532.146","-34675.345","-342113.245","-81356.121","","-167099.272","","-93657.852","-562079.705","-112715.438","2162998.163","-55662.486","2848840.346","2286760.641","-726541.011","","","-230222.826","","-230222.826","","-496318.185","-471995.846","-110290.711","-361705.135","-651444.772","-83617.921","-567826.851","","-1849981.629","436779.012","313117.162","","","","123661.847","","","110919.255","12742.592","n.a.","436779.01","484013.258","8066.448","-77680.696","-154678.539","","","","","-281836.115","-22115.646","26.896381691","14.111351695"
"324.","ENSILICA PLC","04220106","62090","31/05/2025","18183","179","31","ENSI","Other information technology and computer service activities","GB00BN7F1618","-2630","-976","-3537","-8634","-3862","","","","","","","-3862","-2429","","","-579","-1092","-758","-14925","-1052","-532","-625","40074","25149","-1422","","","","","","","-1422","-2126","","-2126","-701","-466","-235","","-4249","20900","156","","","","20744","16181","","4670","-107","n.a.","20900","836","-1719","2085","-6478","","","","","2193","-3083","-5.367651103","-19.452235605"
"325.","ENTAIN PLC","IM004685V","92000","31/12/2024","5089200","29024","n.a.","ENT","Gambling and betting activities","IM00B5VQMV65","-250100","835900","-357400","-304800","-25300","","","","","","","-25300","-1424600","-76600","","-501700","-265800","-580500","-1754700","-455800","438700","-268400","10141000","8386300","-3605900","","","","","","","-3605900","-2019400","","-2019400","-741600","-738700","-2900","","-6366900","2019400","5200","","","","1540500","1796700","","-2768600","2512400","473700","2019400","868900","-158700","-142000","-317900","","","-116300","","70100","204100","16.424978386","-7.022714769"
"326.","ENTEQ TECHNOLOGIES PLC","07590845","25990","31/03/2024","","10","n.a.","NTQ","Manufacture of other fabricated metal products n.e.c.","GB00B41Q8Q68","-2604","-2447","-2460","-572","","","","","","","","","-645","","","-571","","-74","-1217","1815","2196","-493","10144","8927","","","","","","","","","-158","","-158","","","","","-158","8769","874","","","","7895","73041","","-65154","8","n.a.","8768","-2132","-15","","296","","","","","","-1851","",""
"327.","ENWELL ENERGY PLC","04462555","06100","31/12/2024","35882","279","37","ENW","Extraction of crude petroleum","GB0031775819","23246","27777","24294","-291","","","","","","","","","-3386","-778","","","-827","-1781","-3676","84335","142526","4583","152551","148875","","","","","","","","","-455","","-455","-11239","-4629","-6610","-258","-11952","136923","22454","","","","114468","","","239661","-125193","n.a.","136922","32693","","-5091","-3116","","","","","-348","24137","77.412072906","67.705256117"
"328.","EQTEC PUBLIC LIMITED COMPANY","IE462861","70100","31/12/2024","1823.11387169032","23","n.a.","EQT","Activities of head offices","IE00BH3XCL94","-2978.06725449314","-1028.11489950667","-16073.4104725188","-536.321902683144","-639.201628552928","-32.513918596413","","","","","","-606.687709956516","-1324.4765803096","","","-941.082634609795","-220.278630985957","-163.115314713849","-2500.00011154567","-1481.95994737874","185.701900805517","-491.783887659562","11346.0963849926","8846.0962734469","-4502.00471371689","","","","","","","-4502.00471371689","-192.600850346477","","-192.600850346477","","","","","-4694.60556406337","4151.49070938353","29009.1569974366","","","","-22856.4069811149","74149.4674577342","","-99236.8950164555","2231.02057760643","-2001.25930693813","4151.49070938353","-5066.80765967963","1839.22715462971","-11.8940838142852","2205.64907166045","","","","","1161.21469086658","127.389173662823","-56.393345225","n.s."
"329.","ESSENSYS PLC","11780413","64209","31/07/2024","24131","116","64","ESYS","Activities of other holding companies (not including agricultural, production, construction, distribution and financial services holding companies) n.e.c.","GB00BJL1ZF49","-5380","-658","-5492","-2889","","","","","","","","","-2639","-28","","-1303","-43","-1265","-5528","5604","6451","2485","22724","17196","","","","","","","","","-432","","-432","","","","","-432","16764","162","","","","16602","51660","","-35086","28","n.a.","16764","-1928","-112","860","-2111","","","","","-1408","-4699","-2.726782976","-22.759106543"
"330.","ESSENTRA PLC","05444653","70100","31/12/2024","302400","","92","ESNT","Activities of head offices","GB00B0744359","14600","44000","5700","-51700","-8700","-1000","","","-7700","","-7700","","-12100","-7600","","","","-4500","-72500","92800","192300","53800","494000","421500","-127900","","","-21200","","-21200","","-106700","","","","-10200","-10200","","-12600","-150700","270800","72600","","","","198200","","","405500","-207300","n.a.","270800","30800","-8100","-5100","-31700","","","-10500","","700","-23900","14.55026455","1.884920635"
"331.","EURASIA MINING PLC","03010091","08990","31/12/2024","6636.001","78","97","EUA","Other mining and quarrying n.e.c.","GB0003230421","-8506.035","-8486.549","-8647.498","-1045.818","-288.811","","","","-26.105","","-26.105","-262.706","-1213.607","-0.221","","-198.622","-760.759","-254.005","-2548.236","2973.182","15216.362","225.545","20633.868","18085.632","","","","","","","","","","","","-250.695","","-250.695","","-250.695","17834.937","61575.811","","","","-43740.874","","","-50609.713","6868.839","n.a.","17834.937","3946.699","-29.096","1.41","-1716.166","","","","","423.27","2626.117","n.s.","n.s."
